# Nmap 7.80 scan initiated Sat Mar  9 13:39:54 2024 as: nmap -p- -T4 --min-rate 1000 -oN nmap.log 10.10.199.138
Warning: 10.10.199.138 giving up on port because retransmission cap hit (6).
Nmap scan report for 10.10.199.138
Host is up (0.21s latency).
Not shown: 64316 closed ports, 1208 filtered ports
PORT      STATE SERVICE
135/tcp   open  msrpc
139/tcp   open  netbios-ssn
445/tcp   open  microsoft-ds
3389/tcp  open  ms-wbt-server
31337/tcp open  Elite
49152/tcp open  unknown
49153/tcp open  unknown
49154/tcp open  unknown
49155/tcp open  unknown
49161/tcp open  unknown
49165/tcp open  unknown

# Nmap done at Sat Mar  9 13:41:45 2024 -- 1 IP address (1 host up) scanned in 111.04 seconds
